	attr_conc.max	attr_conc.mean	attr_conc.median	attr_conc.min	attr_conc.sd	attr_ent.max	attr_ent.mean	attr_ent.median	attr_ent.min	attr_ent.sd	attr_to_inst	cat_to_num	cor.max	cor.mean	cor.median	cor.min	cor.sd	cov.max	cov.mean	cov.median	cov.min	cov.sd	eigenvalues.max	eigenvalues.mean	eigenvalues.median	eigenvalues.min	eigenvalues.sd	g_mean.max	g_mean.mean	g_mean.median	g_mean.min	g_mean.sd	h_mean.max	h_mean.mean	h_mean.median	h_mean.min	h_mean.sd	inst_to_attr	iq_range.max	iq_range.mean	iq_range.median	iq_range.min	iq_range.sd	kurtosis.max	kurtosis.mean	kurtosis.median	kurtosis.min	kurtosis.sd	mad.max	mad.mean	mad.median	mad.min	mad.sd	max.max	max.mean	max.median	max.min	max.sd	mean.max	mean.mean	mean.median	mean.min	mean.sd	median.max	median.mean	median.median	median.min	median.sd	min.max	min.mean	min.median	min.min	min.sd	nr_attr	nr_bin	nr_cat	nr_cor_attr	nr_inst	nr_norm	nr_num	nr_outliers	num_to_cat	range.max	range.mean	range.median	range.min	range.sd	sd.max	sd.mean	sd.median	sd.min	sd.sd	skewness.max	skewness.mean	skewness.median	skewness.min	skewness.sd	sparsity.max	sparsity.mean	sparsity.median	sparsity.min	sparsity.sd	t_mean.max	t_mean.mean	t_mean.median	t_mean.min	t_mean.sd	var.max	var.mean	var.median	var.min	var.sd	id_experimento	reducao
1						4.584962500721156	4.584962500721156	4.584962500721156	4.584962500721156		0.041666666666666664		0.043478260869565216	0.04347826086956519	0.04347826086956519	0.04347826086956515	1.7363628035834038e-17	0.0018115942028985527	0.0018115942028985507	0.0018115942028985505	0.0018115942028985497	5.64542803908404e-19	0.043478260869565286	0.041666666666666685	0.043478260869565244	3.9898639947466563e-17	0.008874962836170931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	17.244791666666668	17.244791666666668	17.244791666666668	17.244791666666668	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.041666666666666664	0.041666666666666664	0.041666666666666664	0.041666666666666664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	24	0.0	0	24	0.0	1.0	1.0	1.0	1.0	0.0	0.20412414523193165	0.20412414523193156	0.2041241452319316	0.2041241452319315	4.5201332532805286e-17	4.303617395306556	4.303617395306556	4.303617395306556	4.303617395306556	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.04166666666666672	0.041666666666666706	0.0416666666666667	0.04166666666666667	1.818674060757928e-17	26	0.16
1						4.643856189774724	4.643856189774724	4.643856189774724	4.643856189774724		0.04		0.04166666666666668	0.04166666666666666	0.04166666666666666	0.041666666666666595	1.210529421131544e-17	0.0016666666666666683	0.0016666666666666674	0.001666666666666667	0.0016666666666666648	7.871414556499044e-19	0.041666666666666734	0.04000000000000001	0.04166666666666668	2.0816681711721685e-17	0.008333333333333331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	18.2352	18.235199999999992	18.235199999999985	18.235199999999985	6.32210032593583e-15	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.04	0.04	0.04	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	25	0.0	0	25	0.0	1.0	1.0	1.0	1.0	0.0	0.2000000000000001	0.20000000000000004	0.20000000000000007	0.2	3.627743277389693e-17	4.416	4.4159999999999995	4.415999999999999	4.415999999999999	9.06493303673679e-16	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.04000000000000004	0.04000000000000003	0.04000000000000002	0.04	1.570858918313846e-17	26	0.17
1						4.754887502163469	4.754887502163469	4.754887502163469	4.754887502163469		0.037037037037037035		0.03846153846153855	0.038461538461538505	0.038461538461538505	0.03846153846153847	2.024377383001213e-17	0.001424501424501426	0.0014245014245014254	0.0014245014245014257	0.0014245014245014248	4.1142579709883214e-19	0.03846153846153851	0.037037037037037035	0.03846153846153846	-5.4144728270358274e-17	0.007401926528072135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	20.218106995884785	20.21810699588478	20.218106995884785	20.218106995884778	3.48372237969457e-15	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.037037037037037035	0.03703703703703703	0.037037037037037035	0.037037037037037035	7.071075188784084e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	27	0.0	0	27	0.0	1.0	1.0	1.0	1.0	0.0	0.19245008972987526	0.19245008972987523	0.1924500897298752	0.19245008972987515	4.4886735443152576e-17	4.633057715719222	4.633057715719222	4.633057715719222	4.63305771571922	7.789840055734391e-16	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.03703703703703704	0.037037037037037014	0.03703703703703702	0.03703703703703699	1.427249553278141e-17	26	0.18
1						4.807354922057604	4.807354922057604	4.807354922057604	4.807354922057604		0.03571428571428571		0.03703703703703704	0.03703703703703699	0.03703703703703699	0.03703703703703695	1.8917059834885028e-17	0.001322751322751323	0.0013227513227513218	0.001322751322751322	0.0013227513227513212	3.8991635009219194e-19	0.037037037037037104	0.03571428571428573	0.03703703703703705	4.163336342344337e-17	0.006999342092763462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	21.210459183673468	21.210459183673464	21.210459183673457	21.210459183673457	6.939000813448969e-15	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.03571428571428571	0.03571428571428571	0.03571428571428571	0.03571428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	28	0.0	0	28	0.0	1.0	1.0	1.0	1.0	0.0	0.18898223650461374	0.18898223650461363	0.18898223650461368	0.18898223650461363	6.409875621278546e-17	4.738054643794242	4.738054643794242	4.738054643794241	4.73805464379424	9.044766308671292e-16	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.03571428571428576	0.03571428571428574	0.03571428571428574	0.03571428571428572	1.3015779053418037e-17	26	0.19
1						4.906890595608518	4.906890595608518	4.906890595608518	4.906890595608518		0.03333333333333333		0.034482758620689696	0.03448275862068967	0.034482758620689676	0.03448275862068966	1.083910347926531e-17	0.0011494252873563218	0.0011494252873563216	0.0011494252873563218	0.0011494252873563216	1.5438558383455296e-19	0.034482758620689676	0.033333333333333305	0.03448275862068963	-2.0816681711721685e-17	0.00629566158051915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	23.196666666666694	23.196666666666694	23.196666666666694	23.196666666666665	1.3111722737223378e-14	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.03333333333333333	0.03333333333333333	0.03333333333333333	0.03333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	30	0.0	0	30	0.0	1.0	1.0	1.0	1.0	0.0	0.18257418583505536	0.18257418583505533	0.1825741858350553	0.18257418583505525	4.8349565501892035e-17	4.941674629935501	4.941674629935501	4.941674629935501	4.941674629935498	1.3297129433461448e-15	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.03333333333333333	0.03333333333333331	0.03333333333333331	0.033333333333333284	1.5569249419391452e-17	26	0.2
1						3.9068905956085187	3.9068905956085187	3.9068905956085187	3.9068905956085187		0.06666666666666667		0.07142857142857144	0.07142857142857141	0.07142857142857142	0.0714285714285714	1.4593265820646525e-17	0.0047619047619047615	0.00476190476190476	0.0047619047619047615	0.004761904761904761	1.5520499968628523e-18	0.07142857142857151	0.06666666666666667	0.07142857142857144	3.9898639947466563e-17	0.01844277783908293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	8.38666666666667	8.386666666666668	8.386666666666665	8.386666666666665	3.0398917797495677e-15	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.06666666666666667	0.06666666666666667	0.06666666666666667	0.06666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	15	0.0	0	15	0.0	1.0	1.0	1.0	1.0	0.0	0.25819888974716115	0.25819888974716104	0.25819888974716115	0.2581988897471611	1.1200918678142812e-16	3.1328131955988887	3.132813195598886	3.1328131955988856	3.1328131955988856	1.2334401497138955e-15	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0666666666666667	0.06666666666666667	0.06666666666666668	0.06666666666666667	2.0981243021257878e-17	26	0.1
1						4.0	4.0	4.0	4.0		0.0625		0.06666666666666667	0.06666666666666667	0.06666666666666667	0.06666666666666667	0.0	0.004166666666666667	0.004166666666666667	0.004166666666666667	0.004166666666666667	0.0	0.06666666666666679	0.06250000000000001	0.06666666666666668	-3.469446951953614e-18	0.01666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	9.36328125	9.36328125	9.36328125	9.36328125	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0625	0.0625	0.0625	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	16	0.0	0	16	0.0	1.0	1.0	1.0	1.0	0.0	0.25	0.25	0.25	0.25	0.0	3.28125	3.28125	3.28125	3.28125	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0625	0.0625	0.0625	0.0625	0.0	26	0.11
1						4.169925001442313	4.169925001442313	4.169925001442313	4.169925001442313		0.05555555555555555		0.0588235294117647	0.058823529411764705	0.0588235294117647	0.058823529411764684	1.0811392546562634e-17	0.00326797385620915	0.0032679738562091496	0.00326797385620915	0.00326797385620915	4.351051121351205e-19	0.058823529411764754	0.05555555555555555	0.058823529411764705	1.3877787807814457e-17	0.013864838846795046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	11.324074074074076	11.324074074074073	11.32407407407407	11.32407407407407	2.1106264319783626e-15	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.05555555555555555	0.05555555555555555	0.05555555555555555	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	18	0.0	0	18	0.0	1.0	1.0	1.0	1.0	0.0	0.23570226039551587	0.2357022603955158	0.23570226039551584	0.23570226039551584	3.867076359238752e-17	3.561723045976684	3.5617230459766835	3.561723045976683	3.561723045976683	4.569640269980427e-16	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.055555555555555566	0.05555555555555555	0.05555555555555556	0.05555555555555555	8.744755444942192e-18	26	0.12
1						4.247927513443585	4.247927513443585	4.247927513443585	4.247927513443585		0.05263157894736842		0.05555555555555557	0.05555555555555555	0.05555555555555555	0.05555555555555553	7.563824981315589e-18	0.0029239766081871348	0.002923976608187134	0.002923976608187134	0.0029239766081871335	3.9215088904420806e-19	0.05555555555555562	0.05263157894736842	0.055555555555555546	1.214306433183765e-17	0.012745318548364538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	12.30747922437674	12.30747922437674	12.30747922437674	12.307479224376731	3.216029070074519e-15	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.05263157894736842	0.05263157894736841	0.05263157894736842	0.05263157894736842	7.129035791060298e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	19	0.0	0	19	0.0	1.0	1.0	1.0	1.0	0.0	0.22941573387056177	0.22941573387056174	0.22941573387056174	0.22941573387056172	2.5337258102033824e-17	3.6948007665469427	3.6948007665469422	3.6948007665469427	3.694800766546941	5.438959822042073e-16	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.052631578947368425	0.05263157894736841	0.05263157894736841	0.0526315789473684	9.813077866773595e-18	26	0.13
1						4.392317422778759	4.392317422778759	4.392317422778759	4.392317422778759		0.047619047619047616		0.05000000000000001	0.04999999999999998	0.04999999999999999	0.04999999999999997	1.0635498487304715e-17	0.0023809523809523825	0.002380952380952381	0.002380952380952381	0.0023809523809523803	5.84005216573442e-19	0.05000000000000008	0.04761904761904764	0.05000000000000002	3.4694469519536134e-18	0.010910894511799623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	14.278911564625847	14.27891156462584	14.278911564625837	14.278911564625837	4.351167857633658e-15	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.047619047619047616	0.04761904761904763	0.047619047619047616	0.047619047619047616	1.4220500840710914e-17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	21	0.0	0	21	0.0	1.0	1.0	1.0	1.0	0.0	0.21821789023599247	0.21821789023599245	0.21821789023599242	0.21821789023599236	4.2998752849492583e-17	3.948704680460814	3.9487046804608124	3.9487046804608124	3.9487046804608124	7.431033801933001e-16	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.04761904761904766	0.04761904761904764	0.04761904761904763	0.047619047619047616	1.3615092990768424e-17	26	0.14
1						4.459431618637296	4.459431618637296	4.459431618637296	4.459431618637296		0.045454545454545456		0.04761904761904763	0.04761904761904758	0.047619047619047596	0.047619047619047485	3.059346474216229e-17	0.002164502164502165	0.0021645021645021636	0.0021645021645021645	0.0021645021645021606	1.1232833188838141e-18	0.04761904761904771	0.04545454545454548	0.04761904761904763	3.122502256758253e-17	0.010152415064552873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	15.266528925619834	15.26652892561982	15.26652892561982	15.26652892561982	5.200640307459991e-15	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.045454545454545456	0.04545454545454544	0.045454545454545456	0.045454545454545456	1.4204368673474937e-17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	22	0.0	0	22	0.0	1.0	1.0	1.0	1.0	0.0	0.21320071635561058	0.21320071635561055	0.2132007163556105	0.21320071635561044	6.117030937550668e-17	4.070195494061654	4.07019549406165	4.07019549406165	4.07019549406165	1.2560739669470201e-15	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.04545454545454551	0.0454545454545455	0.045454545454545484	0.04545454545454546	1.9800613882084605e-17	26	0.15
1						4.584962500721156	4.584962500721156	4.584962500721156	4.584962500721156		0.041666666666666664		0.043478260869565216	0.04347826086956519	0.04347826086956519	0.04347826086956514	1.7262499464412015e-17	0.0018115942028985527	0.0018115942028985507	0.0018115942028985505	0.0018115942028985497	5.64542803908404e-19	0.043478260869565286	0.04166666666666669	0.043478260869565244	4.336808689942018e-17	0.008874962836170931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	17.244791666666668	17.244791666666668	17.244791666666668	17.244791666666668	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.041666666666666664	0.041666666666666664	0.041666666666666664	0.041666666666666664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	24	0.0	0	24	0.0	1.0	1.0	1.0	1.0	0.0	0.20412414523193165	0.20412414523193156	0.2041241452319316	0.2041241452319315	4.5201332532805286e-17	4.303617395306556	4.303617395306556	4.303617395306556	4.303617395306556	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.04166666666666672	0.04166666666666669	0.0416666666666667	0.04166666666666667	1.6240956446481617e-17	26	0.16
1						4.643856189774724	4.643856189774724	4.643856189774724	4.643856189774724		0.04		0.04166666666666668	0.04166666666666666	0.04166666666666666	0.04166666666666662	1.1768033028176774e-17	0.0016666666666666683	0.0016666666666666674	0.001666666666666667	0.0016666666666666661	7.822314807682907e-19	0.04166666666666675	0.040000000000000015	0.04166666666666668	6.938893903907228e-18	0.008333333333333335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	18.2352	18.23519999999999	18.235199999999985	18.235199999999985	5.475099487534308e-15	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.04	0.04	0.04	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	25	0.0	0	25	0.0	1.0	1.0	1.0	1.0	0.0	0.2000000000000001	0.20000000000000004	0.20000000000000007	0.2	3.627743277389693e-17	4.416	4.4159999999999995	4.415999999999999	4.415999999999999	9.06493303673679e-16	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.04000000000000004	0.04000000000000003	0.04000000000000002	0.04	1.570858918313846e-17	26	0.17
1						4.754887502163469	4.754887502163469	4.754887502163469	4.754887502163469		0.037037037037037035		0.03846153846153855	0.038461538461538505	0.038461538461538505	0.03846153846153847	2.0456711945726435e-17	0.001424501424501426	0.0014245014245014254	0.0014245014245014257	0.0014245014245014248	4.1693982984379893e-19	0.03846153846153851	0.03703703703703703	0.03846153846153845	-3.469446951953614e-17	0.007401926528072131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	20.218106995884785	20.21810699588478	20.218106995884785	20.218106995884778	3.48372237969457e-15	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.037037037037037035	0.03703703703703703	0.037037037037037035	0.037037037037037035	7.071075188784084e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	27	0.0	0	27	0.0	1.0	1.0	1.0	1.0	0.0	0.19245008972987526	0.1924500897298752	0.1924500897298752	0.19245008972987515	3.5694211469659706e-17	4.633057715719222	4.633057715719221	4.633057715719222	4.63305771571922	7.592596900219831e-16	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.03703703703703704	0.037037037037037014	0.03703703703703702	0.03703703703703699	1.427249553278141e-17	26	0.18
1						4.807354922057604	4.807354922057604	4.807354922057604	4.807354922057604		0.03571428571428571		0.037037037037037035	0.037037037037037	0.03703703703703699	0.03703703703703695	2.1100039263125348e-17	0.001322751322751323	0.0013227513227513218	0.001322751322751322	0.0013227513227513212	4.271611595876502e-19	0.03703703703703711	0.03571428571428573	0.037037037037037056	3.8163916471489756e-17	0.006999342092763465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	21.210459183673468	21.210459183673464	21.210459183673457	21.210459183673457	6.939000813448969e-15	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.03571428571428571	0.03571428571428571	0.03571428571428571	0.03571428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	28	0.0	0	28	0.0	1.0	1.0	1.0	1.0	0.0	0.18898223650461374	0.18898223650461365	0.18898223650461368	0.18898223650461363	4.273250414185698e-17	4.738054643794242	4.738054643794242	4.738054643794241	4.73805464379424	9.044766308671292e-16	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.03571428571428576	0.03571428571428574	0.03571428571428574	0.03571428571428572	1.3015779053418037e-17	26	0.19
1						4.906890595608518	4.906890595608518	4.906890595608518	4.906890595608518		0.03333333333333333		0.034482758620689696	0.03448275862068967	0.034482758620689676	0.03448275862068966	1.0437611461885232e-17	0.0011494252873563218	0.0011494252873563216	0.0011494252873563216	0.0011494252873563216	1.4975473977411302e-19	0.03448275862068967	0.03333333333333331	0.034482758620689634	-2.7755575615628914e-17	0.006295661580519153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	23.196666666666694	23.196666666666694	23.196666666666694	23.196666666666665	1.3111722737223378e-14	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.03333333333333333	0.03333333333333333	0.03333333333333333	0.03333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	30	0.0	0	30	0.0	1.0	1.0	1.0	1.0	0.0	0.18257418583505536	0.18257418583505533	0.1825741858350553	0.18257418583505525	4.8349565501892035e-17	4.941674629935501	4.941674629935502	4.941674629935501	4.941674629935498	2.0400787552311154e-15	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.03333333333333333	0.03333333333333331	0.03333333333333331	0.033333333333333284	1.5569249419391452e-17	26	0.2
1						3.9068905956085187	3.9068905956085187	3.9068905956085187	3.9068905956085187		0.06666666666666667		0.07142857142857144	0.0714285714285714	0.07142857142857142	0.0714285714285714	2.4720687413577235e-17	0.0047619047619047615	0.00476190476190476	0.0047619047619047615	0.004761904761904761	1.5520499968628523e-18	0.0714285714285715	0.06666666666666667	0.07142857142857144	7.112366251504909e-17	0.01844277783908292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	8.38666666666667	8.386666666666668	8.386666666666665	8.386666666666665	3.0398917797495677e-15	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.06666666666666667	0.06666666666666667	0.06666666666666667	0.06666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	15	0.0	0	15	0.0	1.0	1.0	1.0	1.0	0.0	0.25819888974716115	0.2581988897471611	0.25819888974716115	0.2581988897471611	5.551115123125783e-17	3.1328131955988887	3.132813195598886	3.1328131955988856	3.1328131955988856	1.2334401497138955e-15	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0666666666666667	0.06666666666666667	0.06666666666666668	0.06666666666666667	2.0981243021257878e-17	26	0.1
1						4.0	4.0	4.0	4.0		0.0625		0.06666666666666667	0.06666666666666667	0.06666666666666667	0.06666666666666667	0.0	0.004166666666666667	0.004166666666666667	0.004166666666666667	0.004166666666666667	0.0	0.06666666666666679	0.06250000000000001	0.06666666666666668	-3.469446951953614e-18	0.01666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	9.36328125	9.36328125	9.36328125	9.36328125	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0625	0.0625	0.0625	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	16	0.0	0	16	0.0	1.0	1.0	1.0	1.0	0.0	0.25	0.25	0.25	0.25	0.0	3.28125	3.28125	3.28125	3.28125	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0625	0.0625	0.0625	0.0625	0.0	26	0.11
1						4.169925001442313	4.169925001442313	4.169925001442313	4.169925001442313		0.05555555555555555		0.0588235294117647	0.05882352941176469	0.0588235294117647	0.058823529411764684	5.543120508163254e-18	0.00326797385620915	0.0032679738562091496	0.00326797385620915	0.00326797385620915	4.351051121351205e-19	0.05882352941176474	0.05555555555555555	0.0588235294117647	2.2985086056691702e-17	0.013864838846795041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	11.324074074074076	11.324074074074073	11.32407407407407	11.32407407407407	2.1106264319783626e-15	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.05555555555555555	0.05555555555555555	0.05555555555555555	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	18	0.0	0	18	0.0	1.0	1.0	1.0	1.0	0.0	0.23570226039551587	0.2357022603955158	0.23570226039551584	0.23570226039551584	3.867076359238752e-17	3.561723045976684	3.5617230459766835	3.561723045976683	3.561723045976683	4.569640269980427e-16	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.055555555555555566	0.05555555555555555	0.05555555555555556	0.05555555555555555	8.744755444942192e-18	26	0.12
1						4.247927513443585	4.247927513443585	4.247927513443585	4.247927513443585		0.05263157894736842		0.05555555555555557	0.05555555555555555	0.05555555555555555	0.05555555555555553	8.000552990368442e-18	0.0029239766081871348	0.002923976608187134	0.002923976608187134	0.0029239766081871335	3.9355897576153196e-19	0.05555555555555562	0.05263157894736842	0.05555555555555555	1.9949319973733282e-17	0.012745318548364538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	12.30747922437674	12.30747922437674	12.30747922437674	12.307479224376731	3.216029070074519e-15	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.05263157894736842	0.05263157894736841	0.05263157894736842	0.05263157894736842	7.129035791060298e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	19	0.0	0	19	0.0	1.0	1.0	1.0	1.0	0.0	0.22941573387056177	0.22941573387056174	0.22941573387056174	0.22941573387056172	2.5337258102033824e-17	3.6948007665469427	3.6948007665469422	3.6948007665469427	3.694800766546941	5.438959822042073e-16	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.052631578947368425	0.05263157894736841	0.05263157894736841	0.0526315789473684	9.813077866773595e-18	26	0.13
1						4.392317422778759	4.392317422778759	4.392317422778759	4.392317422778759		0.047619047619047616		0.05000000000000001	0.04999999999999998	0.04999999999999999	0.04999999999999997	1.0966103880894591e-17	0.0023809523809523825	0.002380952380952381	0.002380952380952381	0.0023809523809523803	6.454871737147188e-19	0.05000000000000007	0.04761904761904763	0.05	1.9081958235744878e-17	0.010910894511799617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	14.278911564625847	14.27891156462584	14.278911564625837	14.278911564625837	4.351167857633658e-15	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.047619047619047616	0.04761904761904763	0.047619047619047616	0.047619047619047616	1.4220500840710914e-17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	21	0.0	0	21	0.0	1.0	1.0	1.0	1.0	0.0	0.21821789023599247	0.21821789023599245	0.21821789023599242	0.21821789023599236	4.2998752849492583e-17	3.948704680460814	3.948704680460811	3.9487046804608124	3.9487046804608124	1.8337174287508323e-15	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.04761904761904766	0.04761904761904764	0.04761904761904763	0.047619047619047616	1.3615092990768424e-17	26	0.14
